"lp";"kod";"obszar";"iteracja";"nazwa_przeplywu";"typ";"profil";"target_end_time";"critical_end_time";"wersja";"opis_pliku";"sciezka_pliku";"zrodlo";"kontakt";"popup_html";"uwagi";"confluence_storage"
"11";"FID2-632";"IDCC(b) - Individual Validation";"IDCC(b)";"Reference Program (RefProg)";"632";"MIN";"20:40";"21:05";"3";"Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-632 — Reference Program (RefProg) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"12";"FID2-645";"IDCC(b) - Individual Validation";"IDCC(b)";"Initial FB Domain (Virgin RefProg Bal)";"645";"MIN";"20:40";"21:05";"1";"Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-645 — Initial FB Domain (Virgin RefProg Bal) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"13";"FID2-657";"IDCC(b) - Individual Validation";"IDCC(b)";"Real Generation and Load Shift Keys (GLSK)";"657";"MIN";"20:40";"21:05";"1";"Real GLSK (FID2-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-657 — Real Generation and Load Shift Keys (GLSK) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Real GLSK (FID2-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"14";"FID2-659";"IDCC(b) - Individual Validation";"IDCC(b)";"CGM Data Quality Check";"659";"MIN";"20:40";"21:05";"1";"CGM Data Quality Check (FID2-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-659 — CGM Data Quality Check (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> CGM Data Quality Check (FID2-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"15";"FID2-665";"IDCC(b) - Individual Validation";"IDCC(b)";"Individual Filtered Critical Branches (CB)";"665";"MIN";"20:40";"21:05";"1";"Individual Filtered Critical Branches (CB, FID2-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-665 — Individual Filtered Critical Branches (CB) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Individual Filtered Critical Branches (CB, FID2-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"16";"FID2-701";"IDCC(b) - Individual Validation";"IDCC(b)";"Vertices of Initial FB Domain";"701";"MIN";"20:40";"21:05";"1";"Vertices of Initial FB Domain (FID2-701) — wierzchołki początkowej domeny Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-701 — Vertices of Initial FB Domain (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Vertices of Initial FB Domain (FID2-701) — wierzchołki początkowej domeny Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"17";"XID_RA";"IDCC(b) - Individual Validation";"IDCC(b)";"Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES";"RA";"MIN";"20:40";"21:05";"3";"Plik ze środkami zaradczymi (RA, XID_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"KreatorIDCF (N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">XID_RA — Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Plik ze środkami zaradczymi (RA, XID_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> KreatorIDCF (N08) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"18";"FID2-710";"IDCC(b) - Individual Validation";"IDCC(b)";"IVA";"710";"3COL";"21:30";"22:06";"1";"IVA — Individual Validation Adjustment (FID2-710) — wynik indywidualnej walidacji domeny Flow-Based (z Perun4V); korekta domeny po walidacji TSO.";"Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID2-710.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-710 — IVA (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> IVA — Individual Validation Adjustment (FID2-710) — wynik indywidualnej walidacji domeny Flow-Based (z Perun4V); korekta domeny po walidacji TSO.</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> 3COL &nbsp;|&nbsp; <strong>TET:</strong> 21:30 &nbsp; <strong>CET:</strong> 22:06 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"19";"FID2-710";"IDCC(b) - Individual Validation";"IDCC(b)";"IVA Backup";"710_BCK";"MIN";"21:30";"22:06";"1";"IVA Backup (FID2-710) — backupowa wersja IVA generowana przez CCA (publikowana do cca/…/out/), na wypadek braku/niezgodności IVA podstawowego.";"CCA [N09] → MinIO cca/…/out/ [N04] → CCM [N01]";"CCA (N09)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID2-710.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-710 — IVA Backup (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> IVA Backup (FID2-710) — backupowa wersja IVA generowana przez CCA (publikowana do cca/…/out/), na wypadek braku/niezgodności IVA podstawowego.</p><p><strong>Ścieżka pliku:</strong> CCA [N09] → MinIO cca/…/out/ [N04] → CCM [N01]</p><p><strong>Źródło:</strong> CCA (N09) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 21:30 &nbsp; <strong>CET:</strong> 22:06 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"20";"FID2-632";"IDCC(b) - Individual Validation";"IDCC(b)";"Reference Program (RefProg)";"632";"MIN";"20:40";"21:05";"3";"Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-632 — Reference Program (RefProg) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
